pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_masse,pl_dens,st_age,sy_dist
"OGLE-TR-10 b","OGLE-TR-10",1,1,0,0,"Transit",2004,"OGLE",3.10127800,14.011,197.04600,0.40000,,1344.9700000
"55 Cnc e","55 Cnc",2,5,0,0,"Radial Velocity",2004,"McDonald Observatory",2.80800000,,,,,12.5855000
"BD-08 2823 b","BD-08 2823",1,2,0,0,"Radial Velocity",2009,"La Silla Observatory",5.60000000,,,,4.500,41.3342000
"BD-08 2823 c","BD-08 2823",1,2,0,0,"Radial Velocity",2009,"La Silla Observatory",237.60000000,,,,4.500,41.3342000
"HR 8799 c","HR 8799",1,4,0,0,"Imaging",2008,"Gemini Observatory",69000.00000000,13.000,3000.00000,,0.060,41.2441000
"HD 104985 b","HD 104985",1,1,0,0,"Radial Velocity",2003,"Okayama Astrophysical Observatory",198.20000000,,,,,100.5760000
"4 UMa b","4 UMa",1,1,0,0,"Radial Velocity",2006,"Thueringer Landessternwarte Tautenburg",269.30000000,,,,4.604,73.4603000
"HD 104985 b","HD 104985",1,1,0,0,"Radial Velocity",2003,"Okayama Astrophysical Observatory",199.50500000,,,,,100.5760000
"kap CrB b","kap CrB",1,1,0,0,"Radial Velocity",2007,"Lick Observatory",1261.94000000,,635.66000,,3.420,30.0651000
"kap CrB b","kap CrB",1,1,0,0,"Radial Velocity",2007,"Lick Observatory",1251.00000000,,591.16380,,,30.0651000
"kap CrB b","kap CrB",1,1,0,0,"Radial Velocity",2007,"Lick Observatory",1300.00000000,,689.69110,,,30.0651000
"55 Cnc e","55 Cnc",2,5,0,0,"Radial Velocity",2004,"McDonald Observatory",0.73654370,2.080,7.81000,4.78000,,12.5855000
"14 And b","14 And",1,1,0,0,"Radial Velocity",2008,"Okayama Astrophysical Observatory",,,,,,75.4392000
"18 Del b","18 Del",2,1,0,0,"Radial Velocity",2008,"Okayama Astrophysical Observatory",,,,,,76.2220000
"81 Cet b","81 Cet",1,1,0,0,"Radial Velocity",2008,"Okayama Astrophysical Observatory",,,,,,101.2600000
"HD 81688 b","HD 81688",1,1,0,0,"Radial Velocity",2007,"Okayama Astrophysical Observatory",,,,,,85.7183000
"xi Aql b","xi Aql",1,1,0,0,"Radial Velocity",2007,"Okayama Astrophysical Observatory",,,,,,56.1858000
"HD 180314 b","HD 180314",1,1,0,0,"Radial Velocity",2010,"Subaru Telescope",,,,,,122.3620000
"55 Cnc d","55 Cnc",2,5,0,0,"Radial Velocity",2002,"Lick Observatory",4867.00000000,,1226.77000,,,12.5855000
"55 Cnc e","55 Cnc",2,5,0,0,"Radial Velocity",2004,"McDonald Observatory",0.73654780,,8.09479,,,12.5855000
"55 Cnc c","55 Cnc",2,5,0,0,"Radial Velocity",2004,"McDonald Observatory",44.41750000,,54.47380,,,12.5855000
"55 Cnc d","55 Cnc",2,5,0,0,"Radial Velocity",2002,"Lick Observatory",4825.00000000,,1232.49300,,,12.5855000
"55 Cnc b","55 Cnc",2,5,0,0,"Radial Velocity",1996,"Lick Observatory",14.60000000,,254.25000,,,12.5855000
"55 Cnc e","55 Cnc",2,5,0,0,"Radial Velocity",2004,"McDonald Observatory",0.73653900,1.910,8.08000,6.40000,,12.5855000
"WASP-127 b","WASP-127",2,1,0,0,"Transit",2016,"SuperWASP",4.17806200,,,,,159.5070000
